@examples
dim 36
format xy
0.166666666666667+0.00000000000000i 0.140722301518090+0.0893029206310164i -0.165258909664012+0.0216164417617644i -0.153395457544087 - 0.0651737016181997i 0.151687840009064 - 0.0690548837604001i 0.157995756042394+0.0530576936020590i 0.140722301518090 - 0.0893029206310164i 0.166666666666667+0.00000000000000i -0.127951216387884+0.106800112371845i -0.164438182385183+0.0271636144803102i 0.0910743549284651 - 0.139582375865085i 0.161830400525915 - 0.0398584902298082i -0.165258909664012 - 0.0216164417617644i -0.127951216387884 - 0.106800112371845i 0.166666666666667+0.00000000000000i 0.143646855214317+0.0845183930562736i -0.159362927534155+0.0487979006261702i -0.149779726988069 - 0.0731013759183590i -0.153395457544087+0.0651737016181997i -0.164438182385183 - 0.0271636144803102i 0.143646855214317 - 0.0845183930562736i 0.166666666666667+0.00000000000000i -0.112605979395509+0.122872581083641i -0.166162785477105+0.0129501544495626i 0.151687840009064+0.0690548837604001i 0.0910743549284651+0.139582375865085i -0.159362927534155 - 0.0487979006261702i -0.112605979395509 - 0.122872581083641i 0.166666666666667+0.00000000000000i 0.121812852602308+0.113751513039019i 0.157995756042394 - 0.0530576936020590i 0.161830400525915+0.0398584902298082i -0.149779726988069+0.0731013759183590i -0.166162785477104 - 0.0129501544495626i 0.121812852602308 - 0.113751513039019i 0.166666666666667+0.00000000000000i -79.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i -0.129841156585240 - 0.104494266992908i -0.166406649273902+0.00930617296262488i 0.126004936079253+0.109089568068817i 0.166151197538707 - 0.0130979897019058i 0.0747669303637296 - 0.148955308404108i -0.129841156585240+0.104494266992908i 0.166666666666667+0.00000000000000i 0.123803940497755 - 0.111581190596831i -0.166559166527420 - 0.00598513353809863i -0.121227592940803+0.114375034371828i 0.0351429063218103+0.162919470638209i -0.166406649273902 - 0.00930617296262488i 0.123803940497755+0.111581190596831i 0.166666666666667+0.00000000000000i -0.119717116896326 - 0.115955119334203i -0.166623337277347+0.00380016477765452i -0.0829675093321991+0.144548158663434i 0.126004936079253 - 0.109089568068817i -0.166559166527420+0.00598513353809863i -0.119717116896326+0.115955119334203i 0.166666666666667+0.00000000000000i 0.117042101917233 - 0.118654642372618i -0.0409708078442277 - 0.161552377520014i 0.166151197538707+0.0130979897019058i -0.121227592940803 - 0.114375034371828i -0.166623337277347 - 0.00380016477765452i 0.117042101917233+0.118654642372618i 0.166666666666667+0.00000000000000i 0.0862417806704881 - 0.142618838322857i 0.0747669303637296+0.148955308404108i 0.0351429063218103 - 0.162919470638209i -0.0829675093321991 - 0.144548158663434i -0.0409708078442277+0.161552377520014i 0.0862417806704881+0.142618838322857i 0.166666666666667+0.00000000000000i -78.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i 0.166666034731783+0.000458960305411537i 0.166665815109274 - 0.000532777382240883i 0.166663820237429+0.000974064496713907i -0.166662751824866 - 0.00114233617684939i 0.166585494270036+0.00520104572037746i 0.166666034731783 - 0.000458960305411537i 0.166666666666667+0.00000000000000i 0.166663716035599 - 0.000991733322582494i 0.166665870654971+0.000515108336418556i -0.166665265626589 - 0.000683382320687311i 0.166599185084120+0.00474228922408028i 0.166665815109274+0.000532777382240883i 0.166663716035599+0.000991733322582494i 0.166666666666667+0.00000000000000i 0.166659854937384+0.00150682780304514i -0.166658248622208 - 0.00167509520806638i 0.166568017130239+0.00573353704778283i 0.166663820237429 - 0.000974064496713907i 0.166665870654971 - 0.000515108336418556i 0.166659854937384 - 0.00150682780304514i 0.166666666666667+0.00000000000000i -0.166666581717167 - 0.000168275050511376i 0.166613046151000+0.00422736680010995i -0.166662751824866+0.00114233617684939i -0.166665265626589+0.000683382320687311i -0.166658248622208+0.00167509520806638i -0.166666581717167+0.000168275050511376i 0.166666666666667+0.00000000000000i -0.166617229391001 - 0.00405914373289230i 0.166585494270036 - 0.00520104572037746i 0.166599185084120 - 0.00474228922408028i 0.166568017130239 - 0.00573353704778283i 0.166613046151000 - 0.00422736680010994i -0.166617229391001+0.00405914373289230i 0.166666666666667+0.00000000000000i -77.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i -0.130915876222169 - 0.103144612708369i -0.158180428816563+0.0525045685363285i 0.0822602975027382+0.144951789338865i -0.124018130567308 - 0.111343078223875i -0.122856354837141 - 0.112623682473574i -0.130915876222169+0.103144612708369i 0.166666666666667+0.00000000000000i 0.0917565963157151 - 0.139134843983571i -0.154321050591658 - 0.0629507039044420i 0.166322285470882+0.0107086476046266i 0.166202240720959+0.0124335416157384i -0.158180428816563 - 0.0525045685363285i 0.0917565963157151+0.139134843983571i 0.166666666666667+0.00000000000000i -0.0324080278545316 - 0.163485465740407i 0.0826273247550847+0.144742885771963i 0.0811212782143878+0.145592293747443i 0.0822602975027382 - 0.144951789338865i -0.154321050591658+0.0629507039044420i -0.0324080278545316+0.163485465740407i 0.166666666666667+0.00000000000000i -0.158046880411488+0.0529052111797547i -0.158587227572891+0.0512627450349841i -0.124018130567308+0.111343078223875i 0.166322285470882 - 0.0107086476046266i 0.0826273247550847 - 0.144742885771963i -0.158046880411488 - 0.0529052111797547i 0.166666666666667+0.00000000000000i 0.166657697656392+0.00172904298628123i -0.122856354837141+0.112623682473574i 0.166202240720959 - 0.0124335416157384i 0.0811212782143878 - 0.145592293747443i -0.158587227572891 - 0.0512627450349841i 0.166657697656392 - 0.00172904298628123i 0.166666666666667+0.00000000000000i -76.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i 0.140197114556245+0.0901251732196997i -0.0651512795349926+0.153404982163980i -0.156906354696423 - 0.0561976301427217i -0.115880253779276 - 0.119789584529826i -0.160810262862776 - 0.0437931174476401i 0.140197114556245 - 0.0901251732196997i 0.166666666666667+0.00000000000000i 0.0281497751390421+0.164272237269111i -0.162375836010760+0.0375748008322687i -0.162252805617398 - 0.0381025569622376i -0.158951982841150+0.0501203045545873i -0.0651512795349926 - 0.153404982163980i 0.0281497751390421 - 0.164272237269111i 0.166666666666667+0.00000000000000i 0.00960991995564703+0.166389384325515i -0.0649594336300139+0.153486317827504i 0.0225534719214482+0.165133638856734i -0.156906354696423+0.0561976301427217i -0.162375836010760 - 0.0375748008322687i 0.00960991995564703 - 0.166389384325515i 0.166666666666667+0.00000000000000i 0.149485433808960+0.0737013083786488i 0.166159329364145 - 0.0129944235360876i -0.115880253779276+0.119789584529826i -0.162252805617398+0.0381025569622376i -0.0649594336300139 - 0.153486317827504i 0.149485433808960 - 0.0737013083786488i 0.166666666666667+0.00000000000000i 0.143284160491016 - 0.0851318220770747i -0.160810262862776+0.0437931174476401i -0.158951982841150 - 0.0501203045545873i 0.0225534719214482 - 0.165133638856734i 0.166159329364145+0.0129944235360876i 0.143284160491016+0.0851318220770747i 0.166666666666667+0.00000000000000i -75.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i 0.164901465056042+0.0241926559134929i 0.166214379201931 - 0.0122702047372659i -0.166020586818946+0.0146609184593141i 0.165334479461314 - 0.0210306366768608i -0.161631005041442+0.0406595128730162i 0.164901465056042 - 0.0241926559134928i 0.166666666666667+0.00000000000000i 0.162672874815493 - 0.0362672521297193i -0.162134108641476+0.0386045151868499i 0.160530665584103 - 0.0448071778279182i -0.154017167551604+0.0636905791868702i 0.166214379201931+0.0122702047372659i 0.162672874815493+0.0362672521297193i 0.166666666666667+0.00000000000000i -0.166649407463901+0.00239849321625315i 0.166434108492701 - 0.00880143783807698i -0.164185786261302+0.0286497010025565i -0.166020586818946 - 0.0146609184593141i -0.162134108641476 - 0.0386045151868499i -0.166649407463901 - 0.00239849321625315i 0.166666666666667+0.00000000000000i -0.166543534506235+0.00640537992223802i 0.164581080647658 - 0.0262839432092464i 0.165334479461314+0.0210306366768608i 0.160530665584103+0.0448071778279182i 0.166434108492701+0.00880143783807698i -0.166543534506235 - 0.00640537992223802i 0.166666666666667+0.00000000000000i -0.165469641156159+0.0199392987196098i -0.161631005041442 - 0.0406595128730162i -0.154017167551604 - 0.0636905791868702i -0.164185786261302 - 0.0286497010025565i 0.164581080647658+0.0262839432092464i -0.165469641156159 - 0.0199392987196098i 0.166666666666667+0.00000000000000i -74.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i 0.135965375630628+0.0963908419270209i -0.0975894461676911 - 0.135107652538489i 0.166061382558270+0.0141913706390067i -0.152157140559598+0.0680145745741634i -0.126003370601384 - 0.109091376262599i 0.135965375630628 - 0.0963908419270210i 0.166666666666667+0.00000000000000i -0.157751556508461 - 0.0537794030920359i 0.143679098527613 - 0.0844635686202645i -0.0847927239873380+0.143485092384487i -0.165885031316831 - 0.0161224738421795i -0.0975894461676911+0.135107652538489i -0.157751556508461+0.0537794030920359i 0.166666666666667+0.00000000000000i -0.108739206762255+0.126307413442337i 0.0339578494113090 - 0.163170592452000i 0.162214073467705 - 0.0382671157365126i 0.166061382558270 - 0.0141913706390067i 0.143679098527613+0.0844635686202645i -0.108739206762255 - 0.126307413442337i 0.166666666666667+0.00000000000000i -0.145813230544822+0.0807234759897050i -0.134834700498779 - 0.0979662254002996i -0.152157140559598 - 0.0680145745741634i -0.0847927239873379 - 0.143485092384487i 0.0339578494113090+0.163170592452000i -0.145813230544822 - 0.0807234759897050i 0.166666666666667+0.00000000000000i 0.0705150541522042+0.151014585109153i -0.126003370601384+0.109091376262599i -0.165885031316831+0.0161224738421795i 0.162214073467705+0.0382671157365126i -0.134834700498779+0.0979662254002995i 0.0705150541522042 - 0.151014585109153i 0.166666666666667+0.00000000000000i -73.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i 0.0339998548379764 - 0.163161844953942i -0.146966257944044 - 0.0786046869067146i -0.0402335291358245 - 0.161737568026277i -0.165599873376921+0.0188271005554620i -0.0317560674676123+0.163613355068497i 0.0339998548379764+0.163161844953942i 0.166666666666667+0.00000000000000i 0.0469707258092908 - 0.159911002419240i 0.150128795083761 - 0.0723817840653004i -0.0522134167065909 - 0.158276773070472i -0.166650951337226+0.00228871059231424i -0.146966257944044+0.0786046869067145i 0.0469707258092908+0.159911002419240i 0.166666666666667+0.00000000000000i 0.111757812700402+0.123644527085511i 0.137146172170141 - 0.0947032482909416i -0.0491622368770968 - 0.159250909708604i -0.0402335291358245+0.161737568026277i 0.150128795083761+0.0723817840653004i 0.111757812700402 - 0.123644527085511i 0.166666666666667+0.00000000000000i 0.0217057072414357 - 0.165247208905103i -0.151108604878207 - 0.0703133508626903i -0.165599873376921 - 0.0188271005554620i -0.0522134167065909+0.158276773070472i 0.137146172170141+0.0947032482909416i 0.0217057072414357+0.165247208905103i 0.166666666666667+0.00000000000000i 0.0500349950380600 - 0.158978857239946i -0.0317560674676123 - 0.163613355068497i -0.166650951337226 - 0.00228871059231424i -0.0491622368770968+0.159250909708604i -0.151108604878207+0.0703133508626903i 0.0500349950380600+0.158978857239946i 0.166666666666667+0.00000000000000i -72.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i -0.165959047535884 - 0.0153418486096010i 0.162393544346080+0.0374981937231035i -0.155395359410089 - 0.0602499796812160i 0.151418890257727+0.0696426410390664i -0.152768907634027 - 0.0666291125416206i -0.165959047535884+0.0153418486096010i 0.166666666666667+0.00000000000000i -0.165155817341311 - 0.0223904840524094i 0.160281671437173+0.0456898629794812i -0.157186689970242 - 0.0554086841025547i 0.158253576969877+0.0522836796143594i 0.162393544346080 - 0.0374981937231035i -0.165155817341311+0.0223904840524094i 0.166666666666667+0.00000000000000i -0.164966811596620 - 0.0237429747382871i 0.163205541089844+0.0337894826144052i -0.163842934477517 - 0.0305494778936401i -0.155395359410089+0.0602499796812160i 0.160281671437173 - 0.0456898629794812i -0.164966811596620+0.0237429747382871i 0.166666666666667+0.00000000000000i -0.166354563483758 - 0.0101949490389194i 0.166523891911719+0.00689718785825245i 0.151418890257727 - 0.0696426410390664i -0.157186689970242+0.0554086841025547i 0.163205541089844 - 0.0337894826144052i -0.166354563483758+0.0101949490389194i 0.166666666666667+0.00000000000000i -0.166633954963903+0.00330194349826462i -0.152768907634027+0.0666291125416206i 0.158253576969877 - 0.0522836796143594i -0.163842934477517+0.0305494778936401i 0.166523891911719 - 0.00689718785825245i -0.166633954963903 - 0.00330194349826462i 0.166666666666667+0.00000000000000i -71.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i -0.138106794596902 - 0.0932967902124549i 0.150679406713434+0.0712284646069633i 0.0731089661546059 - 0.149776022265189i -0.145804403385635+0.0807394186945675i 0.160089600106153+0.0463583618738813i -0.138106794596902+0.0932967902124549i 0.166666666666667+0.00000000000000i -0.164731421955278+0.0253246203993226i 0.0232606629373517+0.165035509322972i 0.0756231010912873 - 0.148522470889474i -0.158607287287808+0.0512006464508074i 0.150679406713434 - 0.0712284646069633i -0.164731421955278 - 0.0253246203993226i 0.166666666666667+0.00000000000000i 0.00208619726832442 - 0.166653609498071i -0.0973126570288855+0.135307148960269i 0.164545445417739 - 0.0265061157104456i 0.0731089661546059+0.149776022265189i 0.0232606629373517 - 0.165035509322972i 0.00208619726832442+0.166653609498071i 0.166666666666667+0.00000000000000i -0.136514628986333 - 0.0956113688349953i 0.0285636846939900+0.164200772514870i -0.145804403385635 - 0.0807394186945675i 0.0756231010912873+0.148522470889474i -0.0973126570288855 - 0.135307148960269i -0.136514628986333+0.0956113688349953i 0.166666666666667+0.00000000000000i -0.117592928654358 - 0.118108767279439i 0.160089600106153 - 0.0463583618738813i -0.158607287287808 - 0.0512006464508074i 0.164545445417739+0.0265061157104456i 0.0285636846939900 - 0.164200772514870i -0.117592928654358+0.118108767279439i 0.166666666666667+0.00000000000000i -70.0000000000000+0.00000000000000i
